piezo amplitude phase
2.530175156E-08 2.572880514E-08 -9.008789130E+01
2.524033954E-08 2.571224580E-08 -9.003295924E+01
2.517892752E-08 2.572880514E-08 -9.012634374E+01
2.511751550E-08 2.574426053E-08 -9.013733015E+01
2.505610348E-08 2.577737922E-08 -9.016479618E+01
2.499469147E-08 2.575971592E-08 -9.002197282E+01
2.493327945E-08 2.574867635E-08 -9.008789130E+01
2.487186743E-08 2.575088427E-08 -9.007141168E+01
2.481045541E-08 2.573542888E-08 -9.012085053E+01
2.474904339E-08 2.574867635E-08 -9.004943885E+01
2.468763137E-08 2.572770119E-08 -9.004943885E+01
2.462621936E-08 2.571114184E-08 -9.006591847E+01
2.456480734E-08 2.569568645E-08 -9.010986412E+01
2.450339532E-08 2.572328536E-08 -9.014831656E+01
2.444198330E-08 2.569789437E-08 -9.009338450E+01
2.438057128E-08 2.572218140E-08 -9.014831656E+01
2.431915926E-08 2.570231019E-08 -9.019775542E+01
2.425774725E-08 2.569347854E-08 -9.014282336E+01
2.419633523E-08 2.569789437E-08 -9.012634374E+01
2.413492321E-08 2.571003788E-08 -9.007690488E+01
2.407351119E-08 2.571114184E-08 -9.002746603E+01
2.401209917E-08 2.567360733E-08 -9.008789130E+01
2.395068715E-08 2.571776558E-08 -9.011535733E+01
2.388927514E-08 2.575419614E-08 -9.013183694E+01
2.382786312E-08 2.570231019E-08 -9.017028939E+01
2.376645110E-08 2.570451810E-08 -9.000000000E+01
2.370503908E-08 2.565815194E-08 -8.993408153E+01
2.364362706E-08 2.569016667E-08 -8.998901359E+01
2.358221504E-08 2.572107745E-08 -9.013183694E+01
2.352080303E-08 2.573432492E-08 -9.003845244E+01
2.345939101E-08 2.571555767E-08 -9.002197282E+01
2.339797899E-08 2.571776558E-08 -8.996154756E+01
2.333656697E-08 2.575971592E-08 -8.997802718E+01
2.327515495E-08 2.576302779E-08 -8.997253397E+01
2.321374293E-08 2.574646844E-08 -8.989013588E+01
2.315233092E-08 2.571224580E-08 -8.991210870E+01
2.309091890E-08 2.571224580E-08 -8.986266985E+01
2.302950688E-08 2.574315657E-08 -8.987914947E+01
2.296809486E-08 2.576633966E-08 -8.989562909E+01
2.290668284E-08 2.573874075E-08 -9.001098641E+01
2.284527082E-08 2.576854757E-08 -9.009887771E+01
2.278385881E-08 2.575750800E-08 -9.014282336E+01
2.272244679E-08 2.574536449E-08 -9.007141168E+01
2.266103477E-08 2.573874075E-08 -9.002746603E+01
2.259962275E-08 2.573763679E-08 -8.998352038E+01
2.253821073E-08 2.570231019E-08 -8.995056115E+01
2.247679871E-08 2.569127063E-08 -8.988464267E+01
2.241538670E-08 2.570341415E-08 -8.995056115E+01
2.235397468E-08 2.570231019E-08 -9.012085053E+01
2.229256266E-08 2.570231019E-08 -9.007141168E+01
2.223115064E-08 2.570672602E-08 -9.005493206E+01
2.216973862E-08 2.572990910E-08 -9.009338450E+01
2.210832660E-08 2.573984470E-08 -9.012085053E+01
2.204691459E-08 2.573101305E-08 -9.007141168E+01
2.198550257E-08 2.570782997E-08 -9.007141168E+01
2.192409055E-08 2.573542888E-08 -9.002197282E+01
2.186267853E-08 2.576965152E-08 -9.003295924E+01
2.180126651E-08 2.576633966E-08 -9.015380977E+01
2.173985449E-08 2.575530009E-08 -9.010986412E+01
2.167844248E-08 2.576192383E-08 -9.012634374E+01
2.161703046E-08 2.574867635E-08 -9.010437091E+01
2.155561844E-08 2.579393856E-08 -9.006591847E+01
2.149420642E-08 2.573432492E-08 -9.007141168E+01
2.143279440E-08 2.572770119E-08 -8.991210870E+01
2.137138238E-08 2.573763679E-08 -9.000000000E+01
2.130997037E-08 2.571334975E-08 -9.002197282E+01
2.124855835E-08 2.572328536E-08 -9.004394565E+01
2.118714633E-08 2.573101305E-08 -9.007690488E+01
2.112573431E-08 2.578952274E-08 -9.004943885E+01
2.106432229E-08 2.578841878E-08 -9.002746603E+01
2.100291027E-08 2.575750800E-08 -9.004394565E+01
2.094149826E-08 2.577296339E-08 -9.012085053E+01
2.088008624E-08 2.574315657E-08 -9.007690488E+01
2.081867422E-08 2.570893393E-08 -9.007141168E+01
2.075726220E-08 2.572549327E-08 -9.009338450E+01
2.069585018E-08 2.571224580E-08 -9.001647962E+01
2.063443816E-08 2.569016667E-08 -9.001098641E+01
2.057302615E-08 2.576744361E-08 -8.992858832E+01
2.051161413E-08 2.577627526E-08 -8.993408153E+01
2.045020211E-08 2.577185944E-08 -9.003845244E+01
2.038879009E-08 2.569789437E-08 -9.015380977E+01
2.032737807E-08 2.571555767E-08 -9.007690488E+01
2.026596605E-08 2.577296339E-08 -9.006591847E+01
2.020455404E-08 2.576965152E-08 -9.006591847E+01
2.014314202E-08 2.572438932E-08 -9.008239809E+01
2.008173000E-08 2.572549327E-08 -8.999450679E+01
2.002031798E-08 2.572438932E-08 -9.001647962E+01
1.995890596E-08 2.568795876E-08 -8.995605435E+01
1.989749394E-08 2.566698359E-08 -9.003295924E+01
1.983608193E-08 2.569458250E-08 -8.999450679E+01
1.977466991E-08 2.573432492E-08 -9.009338450E+01
1.971325789E-08 2.576081987E-08 -9.002746603E+01
1.965184587E-08 2.575309218E-08 -9.007141168E+01
1.959043385E-08 2.572107745E-08 -9.008789130E+01
1.952902183E-08 2.571555767E-08 -9.004394565E+01
1.946760982E-08 2.571003788E-08 -9.007141168E+01
1.940619780E-08 2.570451810E-08 -9.008239809E+01
1.934478578E-08 2.570562206E-08 -8.999450679E+01
1.928337376E-08 2.568906272E-08 -9.018127580E+01
1.922196174E-08 2.566367172E-08 -9.019775542E+01
1.916054972E-08 2.573542888E-08 -9.013733015E+01
1.909913771E-08 2.569347854E-08 -9.009338450E+01
1.903772569E-08 2.569458250E-08 -9.000000000E+01
1.897631367E-08 2.567802315E-08 -8.992309512E+01
1.891490165E-08 2.568133502E-08 -8.998352038E+01
