piezo amplitude phase
2.413492E-08 2.571004E-08 -9.007690E+01
2.407351E-08 2.571114E-08 -9.002747E+01
2.401210E-08 2.567361E-08 -9.008789E+01
2.395069E-08 2.571777E-08 -9.011536E+01
2.388928E-08 2.575420E-08 -9.013184E+01
2.382786E-08 2.570231E-08 -9.017029E+01
2.376645E-08 2.570452E-08 -9.000000E+01
2.370504E-08 2.565815E-08 -8.993408E+01
2.364363E-08 2.569017E-08 -8.998901E+01
2.358222E-08 2.572108E-08 -9.013184E+01
2.352080E-08 2.573432E-08 -9.003845E+01
2.345939E-08 2.571556E-08 -9.002197E+01
2.339798E-08 2.571777E-08 -8.996155E+01
2.333657E-08 2.575972E-08 -8.997803E+01
2.327515E-08 2.576303E-08 -8.997253E+01
2.321374E-08 2.574647E-08 -8.989014E+01
2.315233E-08 2.571225E-08 -8.991211E+01
2.309092E-08 2.571225E-08 -8.986267E+01
2.302951E-08 2.574316E-08 -8.987915E+01
2.296809E-08 2.576634E-08 -8.989563E+01
2.290668E-08 2.573874E-08 -9.001099E+01
2.284527E-08 2.576855E-08 -9.009888E+01
2.278386E-08 2.575751E-08 -9.014282E+01
2.272245E-08 2.574536E-08 -9.007141E+01
2.266103E-08 2.573874E-08 -9.002747E+01
2.259962E-08 2.573764E-08 -8.998352E+01
2.253821E-08 2.570231E-08 -8.995056E+01
2.247680E-08 2.569127E-08 -8.988464E+01
2.241539E-08 2.570341E-08 -8.995056E+01
2.235397E-08 2.570231E-08 -9.012085E+01
2.229256E-08 2.570231E-08 -9.007141E+01
2.223115E-08 2.570673E-08 -9.005493E+01
2.216974E-08 2.572991E-08 -9.009338E+01
2.210833E-08 2.573984E-08 -9.012085E+01
2.204691E-08 2.573101E-08 -9.007141E+01
2.198550E-08 2.570783E-08 -9.007141E+01
2.192409E-08 2.573543E-08 -9.002197E+01
2.186268E-08 2.576965E-08 -9.003296E+01
2.180127E-08 2.576634E-08 -9.015381E+01
2.173985E-08 2.575530E-08 -9.010986E+01
2.167844E-08 2.576192E-08 -9.012634E+01
2.161703E-08 2.574868E-08 -9.010437E+01
2.155562E-08 2.579394E-08 -9.006592E+01
2.149421E-08 2.573432E-08 -9.007141E+01
2.143279E-08 2.572770E-08 -8.991211E+01
2.137138E-08 2.573764E-08 -9.000000E+01
2.130997E-08 2.571335E-08 -9.002197E+01
2.124856E-08 2.572329E-08 -9.004395E+01
2.118715E-08 2.573101E-08 -9.007690E+01
2.112573E-08 2.578952E-08 -9.004944E+01
2.106432E-08 2.578842E-08 -9.002747E+01
2.100291E-08 2.575751E-08 -9.004395E+01
2.094150E-08 2.577296E-08 -9.012085E+01
2.088009E-08 2.574316E-08 -9.007690E+01
2.081867E-08 2.570893E-08 -9.007141E+01
2.075726E-08 2.572549E-08 -9.009338E+01
